row_idx,align,l,modal,epoch_type,hr,config,m,step_size,kernel_size_h1,kernel_size_w1,kernel_shape1,num_kernel1,pool_size_h1,pool_size_w1,dropout1,row_idx_L1,kernel_size_h2,kernel_size_w2,kernel_shape2,num_kernel2,pool_size_h2,pool_size_w2,dropout2,fcl_size,optimizer,learning_rate,batch_size,num_epoch,config_align_L2,val_accuracy,val_recall,val_precision,val_AUC,compute_cost,criteria
10896,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,48,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,452,0.9170396089553833,0.8673326015472412,0.8737176775932312,0.9601242661476135,141.81775879859924,val_accuracy
9151,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,47,45,2,1,5,wide rec,16,4,5,0.5,41,1,3,wide rec,16,1,2,0,16,adam,0.01,100,150,103,0.9094687700271606,0.8535754680633545,0.8644694566726685,0.961866843700409,61.81322841644287,val_accuracy
15711,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,3,45,2,1,3,wide rec,16,3,3,0.5,70,1,3,wide rec,16,2,2,0.5,16,adam,0.01,100,150,551,0.9344560623168945,0.8674864768981934,0.91939617395401,0.968861711025238,133.84333529472352,val_accuracy
14971,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,113,75,2,1,5,wide rec,16,3,3,0.5,67,1,3,wide rec,16,1,2,0.5,16,adam,0.01,100,150,403,0.9266745209693908,0.8438988924026489,0.9193631649017334,0.9555016160011292,117.24284768104553,val_accuracy
15911,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,57,60,2,1,3,wide rec,16,3,3,0.5,71,1,3,wide rec,16,2,1,0.5,16,adam,0.01,100,150,591,0.9263559579849243,0.8646874070167542,0.8990891933441162,0.9644019126892089,96.33789024353027,val_accuracy
14726,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,88,60,2,3,3,square,16,5,4,0.5,66,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,354,0.9240031361579895,0.8955885529518127,0.8688210368156433,0.9636598944664001,109.3605875492096,val_accuracy
13791,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,136,75,2,3,3,square,16,4,4,0.5,62,1,3,wide rec,16,2,2,0.5,16,adam,0.01,100,150,167,0.9222067832946778,0.8762252330780029,0.8806301236152649,0.9619021058082581,100.63384122848511,val_accuracy
21381,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,78,18,2,3,5,wide rec,16,3,3,0.5,95,1,1,square,16,1,2,0,16,adam,0.01,100,150,821,0.9316828489303589,0.8799467086791992,0.9090057134628295,0.970350182056427,11.030288648605346,val_accuracy
17856,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,76,18,2,3,3,square,16,3,3,0.5,80,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,116,0.928659200668335,0.8709110736846923,0.911279559135437,0.9682930111885071,9.85176215171814,val_accuracy
18501,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,76,18,2,3,3,square,16,3,3,0.5,83,1,1,square,16,1,2,0,16,adam,0.01,100,150,245,0.9275922060012818,0.8503608345985413,0.9222527027130127,0.9686954259872437,9.987743186950684,val_accuracy
19266,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,0.5,86,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,398,0.9246899127960205,0.8561550974845886,0.9116865038871765,0.9610275506973267,13.238393592834473,val_accuracy
19506,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,111,18,2,1,3,wide rec,16,3,5,0.5,87,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,446,0.9246899127960205,0.8561550974845886,0.9116865038871765,0.9610275506973267,13.742102718353271,val_accuracy
23876,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,37,15,2,1,1,square,16,3,3,0.5,106,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,456,0.9380608797073364,0.8766559481620788,0.9277565598487854,0.9656556844711304,10.976821660995483,val_accuracy
22856,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,37,15,2,1,1,square,16,3,3,0.5,102,3,3,square,16,2,2,0,16,adam,0.01,100,150,252,0.9376032471656799,0.8683361768722534,0.933981966972351,0.9602739572525024,10.848411464691162,val_accuracy
24336,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,73,18,2,1,1,square,16,3,3,0.5,108,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,548,0.9360841631889343,0.8665322303771973,0.9326345801353455,0.9624709129333496,10.716091442108155,val_accuracy
22631,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,96,18,2,3,5,wide rec,16,3,4,0.5,101,1,3,wide rec,16,2,1,0.5,16,adam,0.01,100,150,207,0.9344825506210327,0.862619948387146,0.9342290997505188,0.9641115188598632,12.450391721725463,val_accuracy
25016,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,3,12,2,1,3,wide rec,16,3,3,0.5,111,3,3,square,16,2,2,0,16,adam,0.01,100,150,684,0.933202600479126,0.8779614090919494,0.9120057463645935,0.9697865962982177,10.799023818969726,val_accuracy
3941,4,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,120,75,2,3,5,wide rec,16,4,3,0.5,17,1,1,square,16,2,2,0.5,16,adam,0.01,100,150,789,0.917538583278656,0.9066575050354004,0.8523454308509827,0.9652380228042603,71.79457507133483,val_recall
4181,5,14,"hourofday,age,sex,temp,acc,eda",1min,FALSE,120,75,2,3,5,wide rec,16,4,3,0.5,18,1,1,square,16,2,2,0.5,16,adam,0.01,100,150,837,0.917538583278656,0.9066575050354004,0.8523454308509827,0.9652380228042603,69.00471568107605,val_recall
2756,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,60,60,2,3,5,wide rec,16,3,3,0.5,12,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,552,0.8934958219528198,0.9046347737312317,0.8080105543136596,0.9465101957321167,56.91013250350952,val_recall
1286,1,14,"hourofday,age,sex,eda,acc,temp",1min,FALSE,123,75,2,1,3,wide rec,16,5,3,0.5,6,3,1,long rec,16,1,2,0.5,16,adam,0.01,100,150,258,0.9326892018318176,0.8990255117416381,0.8956779479980469,0.9685761570930481,64.96104383468628,val_recall
2976,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,18,45,2,3,5,wide rec,16,5,3,0.5,13,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,596,0.8796314358711242,0.8957185745239258,0.7714221119880676,0.9531152844429016,59.3559024810791,val_recall
6786,3,19,"hourofday,age,sex,acc,hr,eda,temp",1min,TRUE,123,75,2,1,3,wide rec,16,5,3,0.5,31,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,494,0.899077582359314,0.9117200136184692,0.8186234712600708,0.9576282501220703,53.84466180801392,val_recall
4906,1,19,"hourofday,age,sex,eda,acc,temp,hr",1min,TRUE,107,60,2,1,5,wide rec,16,5,5,0.5,23,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,118,0.9130370259284973,0.9067384719848632,0.8368476033210754,0.9669214010238647,89.75499286651612,val_recall
5826,5,19,"hourofday,age,sex,hr,acc,eda,temp",1min,TRUE,124,75,2,3,3,square,16,5,3,0.5,27,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,302,0.9340169787406921,0.8925984501838684,0.8989714980125427,0.9743059992790222,54.09496335983276,val_recall
6111,4,19,"hourofday,age,sex,temp,hr,acc,eda",1min,TRUE,115,75,2,1,1,square,16,4,3,0.5,28,1,3,wide rec,16,2,2,0.5,16,adam,0.01,100,150,359,0.9312838792800904,0.8911053776741028,0.8926638603210449,0.9682105898857116,46.20155882835388,val_recall
6536,2,19,"hourofday,age,sex,temp,acc,eda,hr",1min,TRUE,39,45,2,1,3,wide rec,16,3,5,0.5,30,3,3,square,16,2,2,0,16,adam,0.01,100,150,444,0.9027650117874145,0.8855748891830444,0.8343535780906677,0.9590405464172364,51.246543645858765,val_recall
11626,2,14,"hourofday,age,sex,acc,eda,temp",30s,FALSE,138,75,2,3,5,wide rec,16,4,4,0.5,51,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,598,0.8697458863258362,0.9126434922218323,0.7781141042709351,0.960028100013733,120.63813996315002,val_recall
9956,1,14,"hourofday,age,sex,eda,acc,temp",30s,FALSE,123,75,2,1,3,wide rec,16,5,3,0.5,44,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,264,0.9279579877853393,0.9033849477767945,0.8762410759925843,0.9669233441352845,134.4670557975769,val_recall
11346,3,14,"hourofday,age,sex,acc,temp,eda",30s,FALSE,100,60,2,3,3,square,16,4,5,0.5,50,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,542,0.8734979391098022,0.897165584564209,0.7757288932800293,0.9346145033836365,105.29492893218995,val_recall
10676,4,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,47,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,408,0.8942290306091308,0.8741372704505921,0.8234378218650817,0.9513925790786744,105.67387580871582,val_recall
10916,5,14,"hourofday,age,sex,temp,acc,eda",30s,FALSE,119,75,2,1,5,wide rec,16,4,3,0.5,48,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,456,0.8942290306091308,0.8741372704505921,0.8234378218650817,0.9513925790786744,108.29219889640808,val_recall
14741,1,19,"hourofday,age,sex,eda,acc,temp,hr",30s,TRUE,88,60,2,3,3,square,16,5,4,0.5,66,1,1,square,16,2,2,0.5,16,adam,0.01,100,150,357,0.8856820583343505,0.9198676347732544,0.7770465970039367,0.958284592628479,103.95574903488159,val_recall
15186,3,19,"hourofday,age,sex,acc,hr,eda,temp",30s,TRUE,119,75,2,1,5,wide rec,16,4,3,0.5,68,3,1,long rec,16,2,1,0.5,16,adam,0.01,100,150,446,0.9117558479309082,0.9189667940139771,0.8296547651290893,0.9632329106330871,102.36389183998108,val_recall
13796,2,19,"hourofday,age,sex,temp,acc,eda,hr",30s,TRUE,136,75,2,3,3,square,16,4,4,0.5,62,3,3,square,16,2,2,0.5,16,adam,0.01,100,150,168,0.8981201529502869,0.8958673238754272,0.8156088590621948,0.9516874432563782,147.47609066963196,val_recall
15706,5,19,"hourofday,age,sex,hr,acc,eda,temp",30s,TRUE,3,45,2,1,3,wide rec,16,3,3,0.5,70,3,1,long rec,16,2,2,0.5,16,adam,0.01,100,150,550,0.913729441165924,0.8866142511367798,0.8562702298164367,0.9658232212066651,154.10453681945802,val_recall
15936,4,19,"hourofday,age,sex,temp,hr,acc,eda",30s,TRUE,57,60,2,1,3,wide rec,16,3,3,0.5,71,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,596,0.9126040935516357,0.8810247421264649,0.8574547648429871,0.94772709608078,177.61314334869385,val_recall
17766,2,14,"hourofday,age,sex,acc,eda,temp",5min,FALSE,76,18,2,3,3,square,16,3,3,0.5,80,3,1,long rec,16,2,1,0,16,adam,0.01,100,150,98,0.917175579071045,0.9022655248641968,0.8555117130279541,0.9685632467269898,9.752603149414062,val_recall
17526,3,14,"hourofday,age,sex,acc,temp,eda",5min,FALSE,94,18,2,3,3,square,16,3,4,0.5,79,3,1,long rec,16,2,1,0,16,adam,0.01,100,150,50,0.9140464425086975,0.8981050014495849,0.8524121046066284,0.9645580887794495,9.661177587509155,val_recall
17331,1,14,"hourofday,age,sex,eda,acc,temp",5min,FALSE,94,18,2,3,3,square,16,3,4,0.5,78,1,3,wide rec,16,2,2,0,16,adam,0.01,100,150,11,0.9204492926597595,0.8951977729797364,0.8668028473854065,0.9691280484199524,8.81952223777771,val_recall
20496,4,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,101,18,2,1,5,wide rec,16,4,4,0.5,91,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,644,0.9078073024749755,0.8818112969398498,0.8411031365394592,0.9554038405418396,9.659569549560548,val_recall
20736,5,14,"hourofday,age,sex,temp,acc,eda",5min,FALSE,101,18,2,1,5,wide rec,16,4,4,0.5,92,3,3,square,16,1,2,0.5,16,adam,0.01,100,150,692,0.9078073024749755,0.8818112969398498,0.8411031365394592,0.9554038405418396,9.709142923355103,val_recall
24051,2,19,"hourofday,age,sex,temp,acc,eda,hr",5min,TRUE,119,18,2,1,5,wide rec,16,4,5,0.5,107,1,3,wide rec,16,2,2,0,16,adam,0.01,100,150,491,0.9022757530212402,0.8997609138488769,0.818429696559906,0.9597739219665528,10.409223508834838,val_recall
24731,4,19,"hourofday,age,sex,temp,hr,acc,eda",5min,TRUE,1,12,2,1,1,square,16,3,3,0.5,110,1,3,wide rec,16,2,1,0,16,adam,0.01,100,150,627,0.8817419052124024,0.8958033323287964,0.7938766837120056,0.9588815093040466,8.765121698379517,val_recall
24251,3,19,"hourofday,age,sex,acc,hr,eda,temp",5min,TRUE,73,18,2,1,1,square,16,3,3,0.5,108,1,3,wide rec,16,2,1,0,16,adam,0.01,100,150,531,0.9303231477737427,0.8954500913619995,0.8908303499221801,0.9679479837417603,10.4153883934021,val_recall
22116,1,19,"hourofday,age,sex,eda,acc,temp,hr",5min,TRUE,12,12,2,3,3,square,16,5,3,0.5,99,3,3,square,16,1,2,0,16,adam,0.01,100,150,104,0.9207370519638062,0.8875200271606445,0.8716228365898132,0.9652860522270202,10.612885904312133,val_recall
22811,5,19,"hourofday,age,sex,hr,acc,eda,temp",5min,TRUE,37,15,2,1,1,square,16,3,3,0.5,102,1,3,wide rec,16,2,1,0,16,adam,0.01,100,150,243,0.9299182176589966,0.8775894165039062,0.9034482359886169,0.9636134147644043,11.332423067092895,val_recall
1461,3,14,"hourofday,age,sex,acc,temp,eda",1min,FALSE,138,75,2,3,5,wide rec,16,4,4,0.5,7,1,1,square,16,1,2,0,16,adam,0.01,100,150,293,0.889374566078186,0.7064457058906555,0.940927791595459,0.9497491002082825,53.674332523345946,val_precision
2661,2,14,"hourofday,age,sex,acc,eda,temp",1min,FALSE,60,60,2,3,5,wide rec,16,3,3,0.5,12,1,1,square,16,1,2,0,16,adam,0.01,100,150,533,0.8899113059043884,0.7115388154983521,0.9374410271644592,0.9419604063034057,42.19917860031128,val_precision
