"","epoch_type","config","seed_split","m","step_size","kernel_size_h","kernel_size_w","kernel_shape","num_kernel","pool_size_h","pool_size_w","fcl_size","dropout","optimizer","learning_rate","batch_size","num_epoch"
"88","30s",18,7,45,2,3,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"89","30s",18,155,45,2,3,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"90","30s",18,642,45,2,3,5,"wide rec",16,5,3,16,0.5,"adam",0.001,100,150
"91","30s",19,890,45,2,1,1,"square",16,3,4,16,0.5,"adam",0.001,100,150
"92","30s",19,9818,45,2,1,1,"square",16,3,4,16,0.5,"adam",0.001,100,150
"93","30s",19,7,45,2,1,1,"square",16,3,4,16,0.5,"adam",0.001,100,150
"94","30s",19,155,45,2,1,1,"square",16,3,4,16,0.5,"adam",0.001,100,150
"95","30s",19,642,45,2,1,1,"square",16,3,4,16,0.5,"adam",0.001,100,150
"96","30s",20,890,45,2,3,1,"long rec",16,3,4,16,0.5,"adam",0.001,100,150
"97","30s",20,9818,45,2,3,1,"long rec",16,3,4,16,0.5,"adam",0.001,100,150
"98","30s",20,7,45,2,3,1,"long rec",16,3,4,16,0.5,"adam",0.001,100,150
"99","30s",20,155,45,2,3,1,"long rec",16,3,4,16,0.5,"adam",0.001,100,150
"100","30s",20,642,45,2,3,1,"long rec",16,3,4,16,0.5,"adam",0.001,100,150
"101","30s",21,890,45,2,1,3,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"102","30s",21,9818,45,2,1,3,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"103","30s",21,7,45,2,1,3,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"104","30s",21,155,45,2,1,3,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"105","30s",21,642,45,2,1,3,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"106","30s",22,890,45,2,3,3,"square",16,3,4,16,0.5,"adam",0.001,100,150
"107","30s",22,9818,45,2,3,3,"square",16,3,4,16,0.5,"adam",0.001,100,150
"108","30s",22,7,45,2,3,3,"square",16,3,4,16,0.5,"adam",0.001,100,150
"109","30s",22,155,45,2,3,3,"square",16,3,4,16,0.5,"adam",0.001,100,150
"110","30s",22,642,45,2,3,3,"square",16,3,4,16,0.5,"adam",0.001,100,150
"111","30s",23,890,45,2,1,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"112","30s",23,9818,45,2,1,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"113","30s",23,7,45,2,1,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"114","30s",23,155,45,2,1,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"115","30s",23,642,45,2,1,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"116","30s",24,890,45,2,3,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"117","30s",24,9818,45,2,3,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"118","30s",24,7,45,2,3,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"119","30s",24,155,45,2,3,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"120","30s",24,642,45,2,3,5,"wide rec",16,3,4,16,0.5,"adam",0.001,100,150
"121","30s",25,890,45,2,1,1,"square",16,4,4,16,0.5,"adam",0.001,100,150
"122","30s",25,9818,45,2,1,1,"square",16,4,4,16,0.5,"adam",0.001,100,150
"123","30s",25,7,45,2,1,1,"square",16,4,4,16,0.5,"adam",0.001,100,150
"124","30s",25,155,45,2,1,1,"square",16,4,4,16,0.5,"adam",0.001,100,150
"125","30s",25,642,45,2,1,1,"square",16,4,4,16,0.5,"adam",0.001,100,150
"126","30s",26,890,45,2,3,1,"long rec",16,4,4,16,0.5,"adam",0.001,100,150
"127","30s",26,9818,45,2,3,1,"long rec",16,4,4,16,0.5,"adam",0.001,100,150
"128","30s",26,7,45,2,3,1,"long rec",16,4,4,16,0.5,"adam",0.001,100,150
"129","30s",26,155,45,2,3,1,"long rec",16,4,4,16,0.5,"adam",0.001,100,150
"130","30s",26,642,45,2,3,1,"long rec",16,4,4,16,0.5,"adam",0.001,100,150
"131","30s",27,890,45,2,1,3,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"132","30s",27,9818,45,2,1,3,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"133","30s",27,7,45,2,1,3,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"134","30s",27,155,45,2,1,3,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"135","30s",27,642,45,2,1,3,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"136","30s",28,890,45,2,3,3,"square",16,4,4,16,0.5,"adam",0.001,100,150
"137","30s",28,9818,45,2,3,3,"square",16,4,4,16,0.5,"adam",0.001,100,150
"138","30s",28,7,45,2,3,3,"square",16,4,4,16,0.5,"adam",0.001,100,150
"139","30s",28,155,45,2,3,3,"square",16,4,4,16,0.5,"adam",0.001,100,150
"140","30s",28,642,45,2,3,3,"square",16,4,4,16,0.5,"adam",0.001,100,150
"141","30s",29,890,45,2,1,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"142","30s",29,9818,45,2,1,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"143","30s",29,7,45,2,1,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"144","30s",29,155,45,2,1,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"145","30s",29,642,45,2,1,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"146","30s",30,890,45,2,3,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"147","30s",30,9818,45,2,3,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"148","30s",30,7,45,2,3,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"149","30s",30,155,45,2,3,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"150","30s",30,642,45,2,3,5,"wide rec",16,4,4,16,0.5,"adam",0.001,100,150
"151","30s",31,890,45,2,1,1,"square",16,5,4,16,0.5,"adam",0.001,100,150
"152","30s",31,9818,45,2,1,1,"square",16,5,4,16,0.5,"adam",0.001,100,150
"153","30s",31,7,45,2,1,1,"square",16,5,4,16,0.5,"adam",0.001,100,150
"154","30s",31,155,45,2,1,1,"square",16,5,4,16,0.5,"adam",0.001,100,150
"155","30s",31,642,45,2,1,1,"square",16,5,4,16,0.5,"adam",0.001,100,150
"156","30s",32,890,45,2,3,1,"long rec",16,5,4,16,0.5,"adam",0.001,100,150
"157","30s",32,9818,45,2,3,1,"long rec",16,5,4,16,0.5,"adam",0.001,100,150
"158","30s",32,7,45,2,3,1,"long rec",16,5,4,16,0.5,"adam",0.001,100,150
"159","30s",32,155,45,2,3,1,"long rec",16,5,4,16,0.5,"adam",0.001,100,150
"160","30s",32,642,45,2,3,1,"long rec",16,5,4,16,0.5,"adam",0.001,100,150
"161","30s",33,890,45,2,1,3,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"162","30s",33,9818,45,2,1,3,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"163","30s",33,7,45,2,1,3,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"164","30s",33,155,45,2,1,3,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"165","30s",33,642,45,2,1,3,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"166","30s",34,890,45,2,3,3,"square",16,5,4,16,0.5,"adam",0.001,100,150
"167","30s",34,9818,45,2,3,3,"square",16,5,4,16,0.5,"adam",0.001,100,150
"168","30s",34,7,45,2,3,3,"square",16,5,4,16,0.5,"adam",0.001,100,150
"169","30s",34,155,45,2,3,3,"square",16,5,4,16,0.5,"adam",0.001,100,150
"170","30s",34,642,45,2,3,3,"square",16,5,4,16,0.5,"adam",0.001,100,150
"171","30s",35,890,45,2,1,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"172","30s",35,9818,45,2,1,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"173","30s",35,7,45,2,1,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"174","30s",35,155,45,2,1,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"175","30s",35,642,45,2,1,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"176","30s",36,890,45,2,3,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"177","30s",36,9818,45,2,3,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"178","30s",36,7,45,2,3,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"179","30s",36,155,45,2,3,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"180","30s",36,642,45,2,3,5,"wide rec",16,5,4,16,0.5,"adam",0.001,100,150
"181","30s",37,890,45,2,1,1,"square",16,3,5,16,0.5,"adam",0.001,100,150
"182","30s",37,9818,45,2,1,1,"square",16,3,5,16,0.5,"adam",0.001,100,150
"183","30s",37,7,45,2,1,1,"square",16,3,5,16,0.5,"adam",0.001,100,150
"184","30s",37,155,45,2,1,1,"square",16,3,5,16,0.5,"adam",0.001,100,150
"185","30s",37,642,45,2,1,1,"square",16,3,5,16,0.5,"adam",0.001,100,150
"186","30s",38,890,45,2,3,1,"long rec",16,3,5,16,0.5,"adam",0.001,100,150
"187","30s",38,9818,45,2,3,1,"long rec",16,3,5,16,0.5,"adam",0.001,100,150
