epoch,hr,seed_split,seed_model,feature,rank
30s,1,155,1349,temp_q2,17
30s,1,155,1349,hr_q1,18
30s,1,155,1349,hr_q2,19
30s,1,642,1349,hourofday,1
30s,1,642,1349,age,2
30s,1,642,1349,acc_q1,3
30s,1,642,1349,acc_mean,4
30s,1,642,1349,acc_sd,5
30s,1,642,1349,temp_sd,6
30s,1,642,1349,acc_q2,7
30s,1,642,1349,sex,8
30s,1,642,1349,acc_q3,9
30s,1,642,1349,hr_sd,10
30s,1,642,1349,eda_cat,11
30s,1,642,1349,hr_q3,12
30s,1,642,1349,temp_q1,13
30s,1,642,1349,temp_q2,14
30s,1,642,1349,hr_mean,15
30s,1,642,1349,temp_mean,16
30s,1,642,1349,temp_q3,17
30s,1,642,1349,hr_q1,18
30s,1,642,1349,hr_q2,19
30s,1,890,246,hourofday,1
30s,1,890,246,age,2
30s,1,890,246,acc_q1,3
30s,1,890,246,acc_mean,4
30s,1,890,246,acc_sd,5
30s,1,890,246,acc_q2,6
30s,1,890,246,temp_sd,7
30s,1,890,246,acc_q3,8
30s,1,890,246,sex,9
30s,1,890,246,hr_sd,10
30s,1,890,246,eda_cat,11
30s,1,890,246,hr_q3,12
30s,1,890,246,temp_q3,13
30s,1,890,246,hr_mean,14
30s,1,890,246,temp_mean,15
30s,1,890,246,temp_q2,16
30s,1,890,246,temp_q1,17
30s,1,890,246,hr_q1,18
30s,1,890,246,hr_q2,19
30s,1,9818,246,hourofday,1
30s,1,9818,246,age,2
30s,1,9818,246,acc_q1,3
30s,1,9818,246,temp_sd,4
30s,1,9818,246,acc_q2,5
30s,1,9818,246,sex,6
30s,1,9818,246,acc_mean,7
30s,1,9818,246,acc_sd,8
30s,1,9818,246,acc_q3,9
30s,1,9818,246,eda_cat,10
30s,1,9818,246,hr_sd,11
30s,1,9818,246,hr_mean,12
30s,1,9818,246,hr_q3,13
30s,1,9818,246,temp_q3,14
30s,1,9818,246,temp_q2,15
30s,1,9818,246,hr_q1,16
30s,1,9818,246,temp_q1,17
30s,1,9818,246,temp_mean,18
30s,1,9818,246,hr_q2,19
30s,1,7,246,hourofday,1
30s,1,7,246,age,2
30s,1,7,246,acc_sd,3
30s,1,7,246,acc_q1,4
30s,1,7,246,acc_q2,5
30s,1,7,246,temp_sd,6
30s,1,7,246,acc_mean,7
30s,1,7,246,sex,8
30s,1,7,246,acc_q3,9
30s,1,7,246,hr_sd,10
30s,1,7,246,eda_cat,11
30s,1,7,246,hr_q3,12
30s,1,7,246,temp_q3,13
30s,1,7,246,hr_mean,14
30s,1,7,246,temp_q1,15
30s,1,7,246,temp_mean,16
30s,1,7,246,temp_q2,17
30s,1,7,246,hr_q1,18
30s,1,7,246,hr_q2,19
30s,1,155,246,hourofday,1
30s,1,155,246,age,2
30s,1,155,246,acc_q1,3
30s,1,155,246,temp_sd,4
30s,1,155,246,acc_sd,5
30s,1,155,246,acc_mean,6
30s,1,155,246,acc_q2,7
30s,1,155,246,sex,8
30s,1,155,246,acc_q3,9
30s,1,155,246,hr_sd,10
30s,1,155,246,eda_cat,11
30s,1,155,246,hr_mean,12
30s,1,155,246,temp_q3,13
30s,1,155,246,hr_q3,14
30s,1,155,246,temp_q1,15
30s,1,155,246,hr_q1,16
30s,1,155,246,temp_q2,17
30s,1,155,246,temp_mean,18
30s,1,155,246,hr_q2,19
30s,1,642,246,hourofday,1
30s,1,642,246,age,2
30s,1,642,246,acc_q1,3
30s,1,642,246,acc_mean,4
30s,1,642,246,acc_sd,5
30s,1,642,246,temp_sd,6
30s,1,642,246,acc_q2,7
30s,1,642,246,acc_q3,8
30s,1,642,246,sex,9
30s,1,642,246,hr_sd,10
30s,1,642,246,eda_cat,11
30s,1,642,246,temp_q1,12
30s,1,642,246,hr_mean,13
30s,1,642,246,hr_q3,14
30s,1,642,246,temp_mean,15
30s,1,642,246,temp_q3,16
30s,1,642,246,hr_q1,17
30s,1,642,246,temp_q2,18
30s,1,642,246,hr_q2,19
30s,1,890,904,hourofday,1
30s,1,890,904,age,2
30s,1,890,904,acc_q1,3
30s,1,890,904,acc_sd,4
30s,1,890,904,acc_mean,5
30s,1,890,904,acc_q2,6
30s,1,890,904,temp_sd,7
30s,1,890,904,sex,8
30s,1,890,904,hr_sd,9
30s,1,890,904,acc_q3,10
30s,1,890,904,eda_cat,11
30s,1,890,904,temp_q3,12
