seed_split,align,l,modal,var_lst,epoch,hr
890,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,age,acc_sd,acc_q2,temp_sd,acc_q3,acc_q1,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
9818,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,acc_sd,temp_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
7,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,age,acc_sd,temp_sd,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
155,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,acc_sd,temp_sd,acc_q1,age,acc_q2,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
642,2,14,"hourofday,age,sex,acc,eda,temp","hourofday,acc_sd,temp_sd,age,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",30s,FALSE
890,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,age,acc_sd,acc_q2,temp_sd,acc_q3,acc_q1,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
9818,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_q1,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
7,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,age,acc_sd,temp_sd,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q3,temp_q2,temp_mean",30s,FALSE
155,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,acc_sd,temp_sd,acc_q1,age,acc_q2,acc_q3,acc_mean,eda_cat,sex,temp_q1,temp_q3,temp_mean,temp_q2",30s,FALSE
642,3,14,"hourofday,age,sex,acc,temp,eda","hourofday,acc_sd,temp_sd,age,acc_q2,acc_mean,acc_q3,acc_q1,eda_cat,sex,temp_q1,temp_q2,temp_q3,temp_mean",30s,FALSE
